"","day","batch","staining","cell","ID","length","fname","neurite","filament","parent","cellline","species"
"87","d14","Batch2","stain20180125","Bagheera","Bagheera.ims",5.52418628918548,"lengths/d14/Batch2/stain20180125/Bagheera/Bagheera.ims.len",7,2,5,"SandraA","Chimpanzee/Bonobo"
"88","d14","Batch2","stain20180125","Bagheera","Bagheera.ims",57.6494059521977,"lengths/d14/Batch2/stain20180125/Bagheera/Bagheera.ims.len",11,2,8,"SandraA","Chimpanzee/Bonobo"
"89","d14","Batch2","stain20180125","Bagheera","Bagheera.ims",666.150680884389,"lengths/d14/Batch2/stain20180125/Bagheera/Bagheera.ims.len",12,2,9,"SandraA","Chimpanzee/Bonobo"
"90","d14","Batch2","stain20180125","Bagheera","Bagheera.ims",91.6785326253821,"lengths/d14/Batch2/stain20180125/Bagheera/Bagheera.ims.len",4,2,2,"SandraA","Chimpanzee/Bonobo"
"91","d14","Batch2","stain20180125","Balu","14d_Balu_II_MAX.ims",106.335444606763,"lengths/d14/Batch2/stain20180125/Balu/14d_Balu_II_MAX.ims.len",5,2,4,"JoC","Chimpanzee/Bonobo"
"92","d14","Batch2","stain20180125","Balu","14d_Balu_II_MAX.ims",110.213374141411,"lengths/d14/Batch2/stain20180125/Balu/14d_Balu_II_MAX.ims.len",6,2,4,"JoC","Chimpanzee/Bonobo"
"93","d14","Batch2","stain20180125","Balu","14d_Balu_II_MAX.ims",112.350232204974,"lengths/d14/Batch2/stain20180125/Balu/14d_Balu_II_MAX.ims.len",10,1,8,"JoC","Chimpanzee/Bonobo"
"94","d14","Batch2","stain20180125","Balu","14d_Balu_II_MAX.ims",13.6083909906022,"lengths/d14/Batch2/stain20180125/Balu/14d_Balu_II_MAX.ims.len",1,1,0,"JoC","Chimpanzee/Bonobo"
"95","d14","Batch2","stain20180125","Balu","14d_Balu_II_MAX.ims",14.0407747281123,"lengths/d14/Batch2/stain20180125/Balu/14d_Balu_II_MAX.ims.len",3,1,2,"JoC","Chimpanzee/Bonobo"
"96","d14","Batch2","stain20180125","Balu","14d_Balu_II_MAX.ims",156.220706650339,"lengths/d14/Batch2/stain20180125/Balu/14d_Balu_II_MAX.ims.len",2,2,0,"JoC","Chimpanzee/Bonobo"
"97","d14","Batch2","stain20180125","Balu","14d_Balu_II_MAX.ims",185.933628612584,"lengths/d14/Batch2/stain20180125/Balu/14d_Balu_II_MAX.ims.len",8,1,6,"JoC","Chimpanzee/Bonobo"
"98","d14","Batch2","stain20180125","Balu","14d_Balu_II_MAX.ims",254.241840161262,"lengths/d14/Batch2/stain20180125/Balu/14d_Balu_II_MAX.ims.len",7,2,6,"JoC","Chimpanzee/Bonobo"
"99","d14","Batch2","stain20180125","Balu","14d_Balu_II_MAX.ims",273.31125906156,"lengths/d14/Batch2/stain20180125/Balu/14d_Balu_II_MAX.ims.len",2,1,0,"JoC","Chimpanzee/Bonobo"
"100","d14","Batch2","stain20180125","Balu","14d_Balu_II_MAX.ims",28.014922058682,"lengths/d14/Batch2/stain20180125/Balu/14d_Balu_II_MAX.ims.len",8,2,6,"JoC","Chimpanzee/Bonobo"
"101","d14","Batch2","stain20180125","Balu","14d_Balu_II_MAX.ims",28.9800416585543,"lengths/d14/Batch2/stain20180125/Balu/14d_Balu_II_MAX.ims.len",5,1,4,"JoC","Chimpanzee/Bonobo"
"102","d14","Batch2","stain20180125","Balu","14d_Balu_II_MAX.ims",343.718567312829,"lengths/d14/Batch2/stain20180125/Balu/14d_Balu_II_MAX.ims.len",4,2,2,"JoC","Chimpanzee/Bonobo"
"103","d14","Batch2","stain20180125","Balu","14d_Balu_II_MAX.ims",4.15926347519493,"lengths/d14/Batch2/stain20180125/Balu/14d_Balu_II_MAX.ims.len",6,1,4,"JoC","Chimpanzee/Bonobo"
"104","d14","Batch2","stain20180125","Balu","14d_Balu_II_MAX.ims",418.900571301931,"lengths/d14/Batch2/stain20180125/Balu/14d_Balu_II_MAX.ims.len",7,1,6,"JoC","Chimpanzee/Bonobo"
"105","d14","Batch2","stain20180125","Balu","14d_Balu_II_MAX.ims",43.9668943131177,"lengths/d14/Batch2/stain20180125/Balu/14d_Balu_II_MAX.ims.len",9,1,8,"JoC","Chimpanzee/Bonobo"
"106","d14","Batch2","stain20180125","Balu","14d_Balu_II_MAX.ims",53.099629856894,"lengths/d14/Batch2/stain20180125/Balu/14d_Balu_II_MAX.ims.len",9,2,8,"JoC","Chimpanzee/Bonobo"
"107","d14","Batch2","stain20180125","Balu","14d_Balu_II_MAX.ims",6.21853867076971,"lengths/d14/Batch2/stain20180125/Balu/14d_Balu_II_MAX.ims.len",1,2,0,"JoC","Chimpanzee/Bonobo"
"108","d14","Batch2","stain20180125","Balu","14d_Balu_II_MAX.ims",6.75048665680553,"lengths/d14/Batch2/stain20180125/Balu/14d_Balu_II_MAX.ims.len",10,2,8,"JoC","Chimpanzee/Bonobo"
"109","d14","Batch2","stain20180125","Balu","14d_Balu_II_MAX.ims",9.46258878801757,"lengths/d14/Batch2/stain20180125/Balu/14d_Balu_II_MAX.ims.len",3,2,2,"JoC","Chimpanzee/Bonobo"
"110","d14","Batch2","stain20180125","Balu","14d_Balu_II_MAX.ims",9.65723341770051,"lengths/d14/Batch2/stain20180125/Balu/14d_Balu_II_MAX.ims.len",4,1,2,"JoC","Chimpanzee/Bonobo"
"111","d14","Batch2","stain20180125","Balu","14d_Balu_III_1.ims",11.7093437761009,"lengths/d14/Batch2/stain20180125/Balu/14d_Balu_III_1.ims.len",3,3,1,"JoC","Chimpanzee/Bonobo"
"112","d14","Batch2","stain20180125","Balu","14d_Balu_III_1.ims",12.4140098396942,"lengths/d14/Batch2/stain20180125/Balu/14d_Balu_III_1.ims.len",2,3,0,"JoC","Chimpanzee/Bonobo"
"113","d14","Batch2","stain20180125","Balu","14d_Balu_III_1.ims",164.783477093247,"lengths/d14/Batch2/stain20180125/Balu/14d_Balu_III_1.ims.len",6,3,4,"JoC","Chimpanzee/Bonobo"
"114","d14","Batch2","stain20180125","Balu","14d_Balu_III_1.ims",19.4172415247323,"lengths/d14/Batch2/stain20180125/Balu/14d_Balu_III_1.ims.len",4,3,1,"JoC","Chimpanzee/Bonobo"
"115","d14","Batch2","stain20180125","Balu","14d_Balu_III_1.ims",5.72782227847069,"lengths/d14/Batch2/stain20180125/Balu/14d_Balu_III_1.ims.len",1,3,0,"JoC","Chimpanzee/Bonobo"
"116","d14","Batch2","stain20180125","Balu","14d_Balu_III_1.ims",6.97701187290126,"lengths/d14/Batch2/stain20180125/Balu/14d_Balu_III_1.ims.len",1,2,0,"JoC","Chimpanzee/Bonobo"
"117","d14","Batch2","stain20180125","Balu","14d_Balu_III_1.ims",63.8848208169726,"lengths/d14/Batch2/stain20180125/Balu/14d_Balu_III_1.ims.len",2,2,0,"JoC","Chimpanzee/Bonobo"
"118","d14","Batch2","stain20180125","Balu","14d_Balu_III_1.ims",8.57646161357381,"lengths/d14/Batch2/stain20180125/Balu/14d_Balu_III_1.ims.len",5,3,4,"JoC","Chimpanzee/Bonobo"
"119","d14","Batch2","stain20180125","Balu","14d_Balu_IV_MAX.ims",101.938637942985,"lengths/d14/Batch2/stain20180125/Balu/14d_Balu_IV_MAX.ims.len",13,4,11,"JoC","Chimpanzee/Bonobo"
"120","d14","Batch2","stain20180125","Balu","14d_Balu_IV_MAX.ims",1095.84620916837,"lengths/d14/Batch2/stain20180125/Balu/14d_Balu_IV_MAX.ims.len",20,4,18,"JoC","Chimpanzee/Bonobo"
"121","d14","Batch2","stain20180125","Balu","14d_Balu_IV_MAX.ims",110.718538147941,"lengths/d14/Batch2/stain20180125/Balu/14d_Balu_IV_MAX.ims.len",8,4,6,"JoC","Chimpanzee/Bonobo"
"122","d14","Batch2","stain20180125","Balu","14d_Balu_IV_MAX.ims",12.3773270472777,"lengths/d14/Batch2/stain20180125/Balu/14d_Balu_IV_MAX.ims.len",6,4,4,"JoC","Chimpanzee/Bonobo"
"123","d14","Batch2","stain20180125","Balu","14d_Balu_IV_MAX.ims",12.5577031168642,"lengths/d14/Batch2/stain20180125/Balu/14d_Balu_IV_MAX.ims.len",11,3,8,"JoC","Chimpanzee/Bonobo"
"124","d14","Batch2","stain20180125","Balu","14d_Balu_IV_MAX.ims",12.6710620816917,"lengths/d14/Batch2/stain20180125/Balu/14d_Balu_IV_MAX.ims.len",9,3,8,"JoC","Chimpanzee/Bonobo"
